Abbreviation;Filename;German;Hebrew;English;Greek;File
Gen;Genesis.json;1. Mose;בראשית;Genesis;γένεσις;
Ex;Exodus.json;2. Mose;שמות;Exodus;ἔξοδος;
Lev;Leviticus.json;3. Mose;ויקרא;Leviticus;λευϊτικόν;
Num;Numbers.json;4. Mose;במדבר;Numbers;ἀριθμοί;
Dtn;Deuteronomy.json;5. Mose;דברים;Deuteronomy;δευτερονόμιον;
Jos;Joshua.json;Josua;יהושע;Joshua;ἰησοῦς;
Ri;Judges.json;Richter;שופטים;Judges;κριταί;
Rut;Ruth.json;Rut;רות;Ruth;ῥούθ;
1Sam;Samuel_1.json;1. Samuel;שמואל א;1 Samuel;βασιλειῶν αʹ;
2Sam;Samuel_2.json;2. Samuel;שמואל ב;2 Samuel;βασιλειῶν βʹ;
1Kön;Kings_1.json;1. Könige;מלכים א;1 Kings;βασιλειῶν γʹ;
2Kön;Kings_2.json;2. Könige;מלכים ב;2 Kings;βασιλειῶν δʹ;
1Chr;Chronicles_1.json;1. Chronik;דברי הימים א;1 Chronicles;παραλειπομένων αʹ;
2Chr;Chronicles_2.json;2. Chronik;דברי הימים ב;2 Chronicles;παραλειπομένων βʹ;
Esra;Ezra.json;Esra;עזרא;Ezra;ἔσδρας αʹ;
Neh;Nehemiah.json;Nehemia;נחמיה;Nehemiah;ἔσδρας βʹ;
Est;Esther.json;Ester;אסתר;Esther;ἐσθήρ;
Hiob;Job.json;Hiob;איוב;Job;ἰώβ;
Ps;Psalms.json;Psalmen;תהלים;Psalms;ψαλμοί;
Spr;Proverbs.json;Sprüche;משלי;Proverbs;παροιμίαι;
Pred;Ecclesiastes.json;Prediger;קהלת;Ecclesiastes;ἐκκλησιαστής;
Hld;Song_of_Songs.json;Hoheslied;שיר השירים;Song of Solomon;ἆσμα ἀσμάτων;
Jes;Isaiah.json;Jesaja;ישעיה;Isaiah;ἠσαΐας;
Jer;Jeremiah.json;Jeremia;ירמיה;Jeremiah;ἱερεμίας;
Klgl;Lamentations.json;Klagelieder;איכה;Lamentations;θρῆνοι;
Hes;Ezekiel.json;Hesekiel;יחזקאל;Ezekiel;ἰεζεκιήλ;
Dan;Daniel.json;Daniel;דניאל;Daniel;δανιήλ;
Hos;Hosea.json;Hosea;הושע;Hosea;ὡσηέ αʹ;
Joel;Joel.json;Joel;יואל;Joel;ἰωήλ δʹ;
Am;Amos.json;Amos;עמוס;Amos;ἀμώς βʹ;
Obd;Obadiah.json;Obadja;עבדיה;Obadiah;ὀβδιού εʹ;
Jona;Jonah.json;Jona;יונה;Jonah;ἰωνᾶς ϛ';
Mi;Micah.json;Micha;מיכה;Micah;μιχαίας γʹ;
Nah;Nahum.json;Nahum;נחום;Nahum;ναούμ ζʹ;
Hab;Habakkuk.json;Habakuk;חבקוק;Habakkuk;ἀμβακούμ ηʹ;
Zef;Zephaniah.json;Zefanja;צפניה;Zephaniah;σοφονίας θʹ;
Hag;Haggai.json;Haggai;חגי;Haggai;ἀγγαῖος ιʹ;
Sach;Zechariah.json;Sacharja;זכריה;Zechariah;ζαχαρίας ιαʹ;
Mal;Malachi.json;Maleachi;מלאכי;Malachi;μαλαχίας ιβʹ;
Mt;;Matthäus;מַתִּתְיָהוּ;Matthew;κατα μαθθαιον;
Mk;;Markus;מַרְקוֹס;Mark;κατα μαρκον;
Lk;;Lukas;לוּקָס;Luke;κατα λουκαν;
Joh;;Johannes;יוֹחָנָן;John;κατα ιωαννην;
Apg;;Apostelgeschichte;מַעֲשֵׂי הַשְּׁלִיחִים;Acts;πραξεις των αποστολων;
Röm;;Römer;אִגֶּרֶת אֶל-הָרוֹמִים;Romans;προς ρωμαιους;
1Kor;;1. Korinther;אִגֶּרֶת אֶל-הַקּוֹרִנְתִּיִים הָרִאשׁוֹנָה;1 Corinthians;προς κορινθιους α;
2Kor;;2. Korinther;אִגֶּרֶת אֶל-הַקּוֹרִנְתִּיִים הַשְּׁנִיָּה;2 Corinthians;προς κορινθιους β;
Gal;;Galater;אִגֶּרֶת אֶל-הַגְּלָטִים;Galatians;προς γαλατας;
Eph;;Epheser;אִגֶּרֶת אֶל-הָאֶפְסִים;Ephesians;προς εφεσιους;
Phil;;Philipper;אִגֶּרֶת אֶל-הַפִּילִפִּיִּים;Philippians;προς φιλιππησιους;
Kol;;Kolosser;אִגֶּרֶת אֶל-הַקּוֹלַסִּים;Colossians;προς κολοσσαεις;
1Thess;;1. Thessalonicher;אִגֶּרֶת אֶל-הַתְּסַלּוֹנִיקִים הָרִאשׁוֹנָה;1 Thessalonians;προς θεσσαλονικεις α;
2Thess;;2. Thessalonicher;אִגֶּרֶת אֶל-הַתְּסַלּוֹנִיקִים הַשְּׁנִיָּה;2 Thessalonians;προς θεσσαλονικεις β;
1Tim;;1. Timotheus;אִגֶּרֶת אֶל-טִימוֹתֵאוֹס הָרִאשׁוֹנָה;1 Timothy;προς τιμοθεον α;
2Tim;;2. Timotheus;אִגֶּרֶת אֶל-טִימוֹתֵאוֹס הַשְּׁנִיָּה;2 Timothy;προς τιμοθεον β;
Tit;;Titus;אִגֶּרֶת אֶל-טִיטוֹס;Titus;προς τιτον;
Phlm;;Philemon;אִגֶּרֶת אֶל-פִּילֵמוֹן;Philemon;προς φιλημονα;
Hebr;;Hebräer;אִגֶּרֶת אֶל-הָעִבְרִים;Hebrews;προς εβραιους;
Jak;;Jakobus;אִגֶּרֶת יַעֲקֹב;James;ιακωβου;
1Petr;;1. Petrus;אִגֶּרֶת פֶּטְרוֹס הָרִאשׁוֹנָה;1 Peter;πετρου α;
2Petr;;2. Petrus;אִגֶּרֶת פֶּטְרוֹס הַשְּׁנִיָּה;2 Peter;πετρου β;
1Joh;;1. Johannes;אִגֶּרֶת יוֹחָנָן הָרִאשׁוֹנָה;1 John;ιωαννου α;
2Joh;;2. Johannes;אִגֶּרֶת יוֹחָנָן הַשְּׁנִיָּה;2 John;ιωαννου β;
3Joh;;3. Johannes;אִגֶּרֶת יוֹחָנָן הַשְּׁלִישִׁית;3 John;ιωαννου γ;
Jud;;Judas;אִגֶּרֶת יְהוּדָה;Jude;ιουδα;
Offb;;Offenbarung;הִתְגַּלּוּת;Revelation;αποκαλυψις ιωαννου;
